====== Generated with Barcode Script Analysis ======



Aa_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	49574.007230352225	49574.007230352225	0.0	***	***	***	***	
AAV3	0.7722635576886021	0.7722635576886021	0.0	***	***	***	***	
AAV7	0.443582169103947	0.443582169103947	0.0	***	***	***	***	
AAV8	0.3639011068049643	0.3639011068049643	0.0	***	***	***	***	
AAV9	0.21759135389414658	0.21759135389414658	0.0	***	***	***	***	
AAV1	0.0185392364405449	0.0185392364405449	0.0	***	***	***	***	
AAV6	0.0036699228075854707	0.0036699228075854707	0.0	***	***	***	***	
AAV2	0.0030284845399565405	0.0030284845399565405	0.0	***	***	***	***	
AAV5	0.002522290536116965	0.002522290536116965	0.0	***	***	***	***	

At_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	132030.4272695642	132030.4272695642	0.0	***	***	***	***	
AAV5	0.322663804474599	0.322663804474599	0.0	***	***	***	***	
AAV1	0.10707208273898582	0.10707208273898582	0.0	***	***	***	***	
AAV7	0.0586493329025299	0.0586493329025299	0.0	***	***	***	***	
AAV8	0.04231576389357565	0.04231576389357565	0.0	***	***	***	***	
AAV9	0.0218863758788895	0.0218863758788895	0.0	***	***	***	***	
AAV6	0.007726269265313454	0.007726269265313454	0.0	***	***	***	***	
AAV2	0.007274462743687316	0.007274462743687316	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

B_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	50160.30298405281	50160.30298405281	0.0	***	***	***	***	
AAV7	0.7397214914179383	0.7397214914179383	0.0	***	***	***	***	
AAV9	0.5164329657343015	0.5164329657343015	0.0	***	***	***	***	
AAV8	0.38770949004492977	0.38770949004492977	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	
AAV6	0.0	0.0	0.0	***	***	***	***	

BlC_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	186555.20688312876	186555.20688312876	0.0	***	***	***	***	
AAV6	4.56821667722472	4.56821667722472	0.0	***	***	***	***	
AAV9	2.9977852135563645	2.9977852135563645	0.0	***	***	***	***	
AAV5	1.1016408098944186	1.1016408098944186	0.0	***	***	***	***	
AAV7	0.8476655453352806	0.8476655453352806	0.0	***	***	***	***	
AAV8	0.30743848251551775	0.30743848251551775	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

C_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	223.45637815061988	223.45637815061988	0.0	***	***	***	***	
AAV1	0.18706583727309306	0.18706583727309306	0.0	***	***	***	***	
AAV7	0.159100203714919	0.159100203714919	0.0	***	***	***	***	
AAV6	0.09791731405889761	0.09791731405889761	0.0	***	***	***	***	
AAV9	0.06888789985751878	0.06888789985751878	0.0	***	***	***	***	
AAV8	0.05102244231732622	0.05102244231732622	0.0	***	***	***	***	
AAV3	0.0014040261517179952	0.0014040261517179952	0.0	***	***	***	***	
AAV5	5.732113472922343e-06	5.732113472922343e-06	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	

Di_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	23942.513163363445	23942.513163363445	0.0	***	***	***	***	
AAV7	0.4587588560200293	0.4587588560200293	0.0	***	***	***	***	
AAV8	0.4416463144305008	0.4416463144305008	0.0	***	***	***	***	
AAV9	0.4077776523764567	0.4077776523764567	0.0	***	***	***	***	
AAV6	0.15145107935861174	0.15145107935861174	0.0	***	***	***	***	
AAV1	0.003682779833627596	0.003682779833627596	0.0	***	***	***	***	
AAV2	0.00010938218249586201	0.00010938218249586201	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	

Du_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	683.4895862980218	683.4895862980218	0.0	***	***	***	***	
AAV3	3.728038904068061	3.728038904068061	0.0	***	***	***	***	
AAV1	0.4556044994108715	0.4556044994108715	0.0	***	***	***	***	
AAV7	0.392744111117673	0.392744111117673	0.0	***	***	***	***	
AAV8	0.15037381838422953	0.15037381838422953	0.0	***	***	***	***	
AAV9	0.08308578083401989	0.08308578083401989	0.0	***	***	***	***	
AAV6	0.06871879742610311	0.06871879742610311	0.0	***	***	***	***	
AAV2	0.035786573231300335	0.035786573231300335	0.0	***	***	***	***	
AAV5	0.01667729314648888	0.01667729314648888	0.0	***	***	***	***	

Eye_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	10726.446211242652	10726.446211242652	0.0	***	***	***	***	
AAV5	0.011902734804369784	0.011902734804369784	0.0	***	***	***	***	
AAV7	0.004817243613009485	0.004817243613009485	0.0	***	***	***	***	
AAV1	0.004352586723323171	0.004352586723323171	0.0	***	***	***	***	
AAV8	0.003804819390032603	0.003804819390032603	0.0	***	***	***	***	
AAV9	0.0032799646933982228	0.0032799646933982228	0.0	***	***	***	***	
AAV6	8.616135480630356e-06	8.616135480630356e-06	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

FatB_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	34925.174047808956	34925.174047808956	0.0	***	***	***	***	
AAV9	2.041255020072796	2.041255020072796	0.0	***	***	***	***	
AAV8	0.9946761806749632	0.9946761806749632	0.0	***	***	***	***	
AAV7	0.39872287532387385	0.39872287532387385	0.0	***	***	***	***	
AAV6	5.1028803563680535e-05	5.1028803563680535e-05	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	
