====== Generated with Barcode Script Analysis ======



AAV1_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
Du	0.586879440039021	0.586879440039021	0.0	***	***	***	***	
C	0.24096578056455387	0.24096578056455387	0.0	***	***	***	***	
At	0.13792314176642717	0.13792314176642717	0.0	***	***	***	***	
Aa	0.02388101240230724	0.02388101240230724	0.0	***	***	***	***	
Eye	0.00560671297629469	0.00560671297629469	0.0	***	***	***	***	
Di	0.004743912251395972	0.004743912251395972	0.0	***	***	***	***	
BlC	0.0	0.0	0.0	***	***	***	***	
FatB	0.0	0.0	0.0	***	***	***	***	
B	0.0	0.0	0.0	***	***	***	***	

AAV2_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
Du	0.7746195502882218	0.7746195502882218	0.0	***	***	***	***	
At	0.1574596433886817	0.1574596433886817	0.0	***	***	***	***	
Aa	0.06555317038134659	0.06555317038134659	0.0	***	***	***	***	
Di	0.0023676359417498247	0.0023676359417498247	0.0	***	***	***	***	
C	0.0	0.0	0.0	***	***	***	***	
BlC	0.0	0.0	0.0	***	***	***	***	
Eye	0.0	0.0	0.0	***	***	***	***	
FatB	0.0	0.0	0.0	***	***	***	***	
B	0.0	0.0	0.0	***	***	***	***	

AAV3_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
Du	0.8281390432898287	0.8281390432898287	0.0	***	***	***	***	
Aa	0.1715490691725256	0.1715490691725256	0.0	***	***	***	***	
C	0.0003118875376458284	0.0003118875376458284	0.0	***	***	***	***	
Di	0.0	0.0	0.0	***	***	***	***	
BlC	0.0	0.0	0.0	***	***	***	***	
Eye	0.0	0.0	0.0	***	***	***	***	
FatB	0.0	0.0	0.0	***	***	***	***	
B	0.0	0.0	0.0	***	***	***	***	
At	0.0	0.0	0.0	***	***	***	***	

AAV4_cDNA				***

Organs	M1	Average	Standard_deviation	****	****	****	****	
BlC	0.38164317371305945	0.38164317371305945	0.0	***	***	***	***	
At	0.27009973150422245	0.27009973150422245	0.0	***	***	***	***	
B	0.10261486422748461	0.10261486422748461	0.0	***	***	***	***	
Aa	0.10141545641724344	0.10141545641724344	0.0	***	***	***	***	
FatB	0.07144777403311492	0.07144777403311492	0.0	***	***	***	***	
Di	0.04898012155756711	0.04898012155756711	0.0	***	***	***	***	
