====== Generated with Barcode Script Analysis ======



Aa_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9999631857290922	0.9999631857290922	0.0	***	***	***	***	
AAV3	1.5577419912424748e-05	1.5577419912424748e-05	0.0	***	***	***	***	
AAV7	8.947548599182552e-06	8.947548599182552e-06	0.0	***	***	***	***	
AAV8	7.340292431075463e-06	7.340292431075463e-06	0.0	***	***	***	***	
AAV9	4.389061033861297e-06	4.389061033861297e-06	0.0	***	***	***	***	
AAV1	3.7395713939222813e-07	3.7395713939222813e-07	0.0	***	***	***	***	
AAV6	7.402644867906005e-08	7.402644867906005e-08	0.0	***	***	***	***	
AAV2	6.108792122522005e-08	6.108792122522005e-08	0.0	***	***	***	***	
AAV5	5.087742187372775e-08	5.087742187372775e-08	0.0	***	***	***	***	

At_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9999957010996355	0.9999957010996355	0.0	***	***	***	***	
AAV5	2.4438489221600274e-06	2.4438489221600274e-06	0.0	***	***	***	***	
AAV1	8.1096172042346e-07	8.1096172042346e-07	0.0	***	***	***	***	
AAV7	4.4420882358540363e-07	4.4420882358540363e-07	0.0	***	***	***	***	
AAV8	3.204987127393585e-07	3.204987127393585e-07	0.0	***	***	***	***	
AAV9	1.6576695421014898e-07	1.6576695421014898e-07	0.0	***	***	***	***	
AAV6	5.8518602193698675e-08	5.8518602193698675e-08	0.0	***	***	***	***	
AAV2	5.509662902661594e-08	5.509662902661594e-08	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

B_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9999672288646975	0.9999672288646975	0.0	***	***	***	***	
AAV7	1.4746666305824043e-05	1.4746666305824043e-05	0.0	***	***	***	***	
AAV9	1.0295313443459224e-05	1.0295313443459224e-05	0.0	***	***	***	***	
AAV8	7.729155553307397e-06	7.729155553307397e-06	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	
AAV6	0.0	0.0	0.0	***	***	***	***	

BlC_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.999947349475151	0.999947349475151	0.0	***	***	***	***	
AAV6	2.4485921537857373e-05	2.4485921537857373e-05	0.0	***	***	***	***	
AAV9	1.606831258518241e-05	1.606831258518241e-05	0.0	***	***	***	***	
AAV5	5.9048622996499425e-06	5.9048622996499425e-06	0.0	***	***	***	***	
AAV7	4.543539306466162e-06	4.543539306466162e-06	0.0	***	***	***	***	
AAV8	1.6478891200857522e-06	1.6478891200857522e-06	0.0	***	***	***	***	
AAV1	0.0	0.0	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	

C_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9974761228509419	0.9974761228509419	0.0	***	***	***	***	
AAV1	0.0008350341468224162	0.0008350341468224162	0.0	***	***	***	***	
AAV7	0.0007101997072528502	0.0007101997072528502	0.0	***	***	***	***	
AAV6	0.000437088364162123	0.000437088364162123	0.0	***	***	***	***	
AAV9	0.0003075053656105773	0.0003075053656105773	0.0	***	***	***	***	
AAV8	0.00022775661344858866	0.00022775661344858866	0.0	***	***	***	***	
AAV3	6.267364457384181e-06	6.267364457384181e-06	0.0	***	***	***	***	
AAV5	2.558730419795075e-08	2.558730419795075e-08	0.0	***	***	***	***	
AAV2	0.0	0.0	0.0	***	***	***	***	

Di_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9999388812439429	0.9999388812439429	0.0	***	***	***	***	
AAV7	1.9159676936144022e-05	1.9159676936144022e-05	0.0	***	***	***	***	
AAV8	1.8444986060732603e-05	1.8444986060732603e-05	0.0	***	***	***	***	
AAV9	1.703048993777036e-05	1.703048993777036e-05	0.0	***	***	***	***	
AAV6	6.3252266720593205e-06	6.3252266720593205e-06	0.0	***	***	***	***	
AAV1	1.5380819555485657e-07	1.5380819555485657e-07	0.0	***	***	***	***	
AAV2	4.568254654248167e-09	4.568254654248167e-09	0.0	***	***	***	***	
AAV3	0.0	0.0	0.0	***	***	***	***	
AAV5	0.0	0.0	0.0	***	***	***	***	

Du_cDNA	  	  	  	  ***

Variants	M1	Average	Standard_deviation	***	***	***	***	
AAV4	0.9928371846187174	0.9928371846187174	0.0	***	***	***	***	
AAV3	0.005415350465998307	0.005415350465998307	0.0	***	***	***	***	
